state,age,sex,education,major,stayTime,rate,websiteName,activity,userID,predict
1,0.75,1,0.75,0.545454545,0.680744651,1,21,0.000373312,4738,0.929682589
1,0.25,1,0.5,1,0.973603779,1,21,0.002704524,14324,0.929418383
1,0.75,1,0.75,0.363636364,0.859266463,1,21,0.000276674,3820,0.926289581
1,0.5,1,1,0.636363636,0.580716866,1,21,0.000872384,6638,0.921062967
1,0.75,1,0.5,0.545454545,0.909697138,1,21,0.011763289,15463,0.920025053
1,0.75,1,0.75,0.636363636,0.577104751,1,21,2.65E-06,16653,0.916581116
1,0.25,1,0.75,0.818181818,0.889691581,1,21,0.003207568,6071,0.914191048
1,0.75,1,1,0.545454545,0.886357321,0.522482085,21,0.006346298,10414,0.913750331
1,0.75,1,1,0.545454545,0.412058905,1,21,0.000295207,13834,0.910918739
1,0.75,1,1,0.636363636,0.76132259,0.558853529,21,0.000390521,7608,0.910040357
1,0.75,1,1,0.818181818,0.868574604,0.26800451,21,4.90E-05,3208,0.907919993
1,0.75,1,0.5,0.545454545,0.904695749,1,21,0.001667988,7550,0.904928363
1,0.75,1,1,0.636363636,0.96471242,0.350216321,21,0.000503044,16624,0.904905502
1,0.75,1,0.5,0.545454545,0.903028619,1,21,0.002364307,8631,0.903957552
1,0.75,1,1,0.454545455,0.491247569,1,21,0.000747947,3470,0.899651051
1,0.75,1,1,0.545454545,0.891914421,0.505591432,21,0.000248874,13076,0.896319353
1,0.75,1,0.75,0.909090909,0.283412059,1,21,0.000439502,12845,0.89605255
1,0.75,1,0.5,1,0.700194498,0.739207857,21,0.002712467,8080,0.895224903
1,0.75,1,0.75,0.545454545,0.636565713,1,21,0.006466764,13935,0.891597103
1,0.75,1,0.75,0.818181818,0.888163379,0.463545007,21,0.016900957,1417,0.889901242
1,0.75,1,0.75,0.454545455,0.728813559,1,21,0.001060364,11355,0.887529458
1,0.75,1,1,0.636363636,0.938871909,0.35730147,21,0.000751919,10738,0.886399014
1,0.75,0.5,0.5,1,0.931369825,1,21,0.001592532,16256,0.886072437
1,0.5,1,0.75,0.454545455,0.977493748,1,21,0.000256817,16126,0.885406101
1,0.75,1,0.5,0.818181818,0.613225896,1,21,2.65E-06,15760,0.884520443
1,0.75,1,0.75,0.545454545,0.634065018,1,21,0.000597034,11068,0.883226678
1,0.75,1,0.5,0.636363636,0.914142817,0.874302418,21,0.004307646,16808,0.882226598
1,0.75,1,0.5,0.545454545,0.876632398,1,21,0.002757476,310,0.8779545
1,0.75,1,1,0.545454545,0.884968047,0.485666362,21,0.00695657,8402,0.876155605
1,0.75,1,0.5,0.545454545,0.870936371,1,21,0.002924275,3906,0.872425272
1,0.75,1,0.75,0.545454545,0.949430397,0.67351363,21,0.000831347,16158,0.87234
1,0.75,1,0.75,0.545454545,0.62017227,1,21,0.003456442,13875,0.872193339
1,0.75,1,0.5,0.636363636,0.770491803,1,21,0.003243311,1757,0.863208831
1,0.75,1,0.75,0.545454545,0.771047513,0.832848108,21,0.00639925,15095,0.858859498
1,0.75,1,1,0.545454545,0.818005001,0.511305659,21,0.027842166,14991,0.855717452
1,0.75,1,0.5,0.636363636,0.931369825,0.824194738,21,0.007091598,6940,0.852129878
1,0.75,1,1,0.545454545,0.929702695,0.417639348,21,0.001119935,11399,0.847026604
1,0.75,1,0.5,0.545454545,0.829952765,0.980781333,21,0.036017956,5718,0.84531668
1,0.5,1,0.75,0.545454545,0.841066963,1,21,0.000736033,14585,0.840367622
1,0.75,1,0.5,0.818181818,0.998610725,0.56662646,21,0.002786599,14055,0.839315683
1,0.75,1,1,0.545454545,0.317588219,1,21,0.022990438,10939,0.839143283
1,0.75,1,0.75,0.636363636,0.487913309,1,21,0.007091598,9412,0.834478624
1,0.75,1,0.5,0.636363636,0.948318977,0.790980492,21,0.003604708,5100,0.832377894
1,0.75,1,1,0.545454545,0.619338705,0.703440095,21,0.006885085,9002,0.828228511
1,0.25,1,1,0.545454545,0.818560711,1,21,1.59E-05,16213,0.817141223
1,0.75,1,0.5,0.545454545,0.974993054,0.83023822,21,0.004586968,7106,0.808382867
1,0.75,1,1,0.545454545,0.438038344,0.869047619,21,0.002075719,1937,0.807726308
1,0.75,1,0.75,0.545454545,0.89358155,0.661721992,21,0.002531106,10177,0.806399275
1,0.75,1,0.75,0.545454545,0.550986385,1,21,0.006612382,2236,0.806163393
1,0.75,1,1,0.636363636,0.215893304,1,21,0.000607624,771,0.805974645
1,0.5,1,0.75,0.363636364,0.986662962,1,21,0.002548315,12073,0.805957722
1,0.75,1,0.5,1,0.844679078,0.500980008,21,0.002216042,5420,0.800985208
1,0.5,1,0.75,0.363636364,0.96693526,1,21,0.017087613,2451,0.800769317
1,0.75,1,0.75,0.363636364,0.82800778,0.902999559,21,0.000751919,5509,0.798505702
1,0.75,1,0.75,0.545454545,0.548763545,1,21,0.001089488,10024,0.798417659
1,0.75,1,0.75,0.272727273,0.977493748,0.843430845,21,0.000361397,13784,0.797123344
1,0.75,1,1,0.545454545,0.875798833,0.417207148,21,0.004829223,15341,0.79639983
1,0.75,1,1,1,0.403167547,0.43903177,21,0.000538787,10597,0.795848184
1,0.75,1,0.75,0.545454545,0.856071131,0.685532485,21,0.001956577,7033,0.792124819
1,0.75,1,0.5,0.636363636,0.700194498,1,21,0.002315327,13353,0.791983542
1,0.75,1,0.5,0.545454545,0.781883857,1,21,0.01042625,6084,0.790874733
1,0.75,1,1,0.636363636,0.949708252,0.247752972,21,0.003214187,11472,0.790149128
1,0.75,1,1,0.545454545,0.283689914,1,21,0.003641774,4596,0.785896314
1,0.5,1,1,0.545454545,0.533203668,1,21,0.001677255,7944,0.783445549
1,0.75,1,0.5,0.636363636,0.686579605,1,21,0.005463323,6833,0.781516646
1,0.75,1,1,0.545454545,0.273687135,1,21,0.006198033,1088,0.778449794
1,0.75,1,0.75,0.272727273,0.801333704,1,21,0.001228487,15579,0.778399544
1,0.75,1,0.5,0.636363636,0.680466796,1,21,0.006241718,14137,0.776182231
1,0.75,1,0.75,0.636363636,0.993331481,0.43276649,21,0.007091598,6309,0.772663286
1,0.75,1,0.75,0.636363636,0.678521812,0.747011342,21,0.007091598,5669,0.772098468
1,0.75,1,1,0.545454545,0.270075021,1,21,0.00033095,5344,0.768970597
1,0.75,1,1,0.818181818,0.765768269,0.230203809,21,0.000311093,15290,0.76757507
1,0.75,1,0.75,0.545454545,0.514587385,1,21,0.002029386,11322,0.765181397
1,0.75,1,0.75,0.545454545,0.985551542,0.526926118,21,0.001779187,15211,0.762821474
1,0.75,1,0.75,0.636363636,0.753125868,0.668364314,21,0.000967698,1137,0.761931597
1,0.75,1,0.75,0.545454545,0.508196721,1,21,0.003163882,12804,0.75992523
1,0.75,1,0.75,0.363636364,0.682828563,1,21,0.007267663,1191,0.756842671
1,0.75,1,0.75,0.363636364,0.688802445,1,21,0.000736033,14745,0.756284922
